IMU_MODE,IMU_STATUS1,IMU_STATUS2,X_DEL_VEL,Y_DEL_VEL,Z_DEL_VEL,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,VN,VE,VD,ROLL,PITCH,HEADING,LAT,LON,ALT,IMU_MODE_cnt,IMU_Bit
0,7,-32747,-0.000874601411819458,0.0979201131820679,0.00274049406051636,-3.16649675369263E-07,2.4307519197464E-07,2.626096829772E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000854494535923004,0.097925636100769,0.0027794451713562,-6.20260834693909E-07,-1.87894329428673E-06,-1.66543759405613E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.00089400429725647,0.0979257768988609,0.00279286186695099,-3.3993273973465E-07,8.77305865287781E-07,7.61589035391808E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.00088769109249115,0.0978832922101021,0.00283074563741684,8.99657607078552E-07,-2.00467184185982E-07,3.41888517141342E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000772559130191803,0.0979026269674301,0.00274923716783524,-1.12131237983704E-06,3.64775769412518E-06,-2.21375375986099E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000809230220317841,0.0978528979897499,0.00276044651269913,2.57045030593872E-07,2.67382711172104E-06,-1.49384140968323E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000882218134403229,0.0978926166772842,0.00282268381118774,-4.64636832475662E-06,-5.91389834880829E-07,-6.02100044488907E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000799233555793762,0.09794704195261,0.00276708673238754,-1.59256160259247E-07,5.37745654582977E-06,1.61631032824516E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000758515655994415,0.0979129506468773,0.00276427077054977,-8.58679413795471E-07,-5.79492188990116E-06,1.61165371537209E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000798452353477478,0.0978454311490059,0.00275156260728836,1.13900750875473E-06,3.80375422537327E-06,2.12062150239944E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000791780340671539,0.0979051840424538,0.00274405034780502,1.51153653860092E-06,-1.10757537186146E-06,-1.44145451486111E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000755654275417328,0.0979217437148094,0.00276676880121231,-6.11878931522369E-07,2.73226760327816E-06,-1.13015994429588E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000787919747829437,0.0978956869840622,0.00274919174909592,-3.35276126861572E-08,6.62636011838913E-07,-4.35160472989082E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000854113018512726,0.0978880793452263,0.0027178800702095,9.47155058383942E-07,1.78208574652672E-06,-2.03144736588001E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000822683250904083,0.0979029994010925,0.00278638515472412,-1.87568366527557E-06,-7.20145180821419E-07,7.76024535298347E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
